,Season,Episode,Character,Line,Processed Line
40038,3,5,Mr. Garrison,"Now, wait a minute. I wanna clear the air here. We all know that pigeon was a whore. Raise your hand if you didn't sleep with that pigeon?  Oh, whatever!",now wait a minute i wanna clear the air here we all know that pigeon was a whore raise your hand if you didnt sleep with that pigeon  oh whatever
40040,3,5,Cartman,"Wow, a dragon right on the blade. Mom, can I get a Sumatomi sword used by the ancient Tokugawa soldiers??",wow a dragon right on the blade mom can i get a sumatomi sword used by the ancient tokugawa soldiers
40042,3,5,Cartman,"Sweet.  Mom, somebody's at the door.",sweet  mom somebodys at the door
40044,3,5,Cartman,Should I get it?,should i get it
40048,3,5,Cartman,"Okay, okay, hold your horses! God!  Mom, it's another Stark's Pond creature!",okay okay hold your horses god  mom its another starks pond creature
40051,3,5,Cartman,You mean the other jakovasaur?,you mean the other jakovasaur
40053,3,5,Cartman,You're a jakovasaur; that's what they call you.,youre a jakovasaur thats what they call you
40055,3,5,Cartman,But the other jakovasaur talked different.,but the other jakovasaur talked different
40057,3,5,Cartman,I have to call my friends over; they're never gonna believe it.,i have to call my friends over theyre never gonna believe it
40059,3,5,Cartman,"He's the last of his kind, you guys. There's only two of them left.",hes the last of his kind you guys theres only two of them left
40060,3,5,Kyle,Did you smoke some of your mom's crack?,did you smoke some of your moms crack
40061,3,5,Cartman,"Will you stop with the whole ""mom smoking crack"" thing?! It's a old joke!",will you stop with the whole mom smoking crack thing its a old joke
40063,3,5,Stan,Who's that? One of your mom's boyfriends?,whos that one of your moms boyfriends
40064,3,5,Cartman,"No, that was a jakovasaur. It's okay to come in.",no that was a jakovasaur its okay to come in
40066,3,5,Cartman,"Jakov, I want you to meet my friends.",jakov i want you to meet my friends
40068,3,5,Cartman,"Hahahahaheh, isn't he funny?",hahahahaheh isnt he funny
40070,3,5,Kyle,What are we supposed to do with him?,what are we supposed to do with him
40071,3,5,Cartman,We have to take him to that rancher's barn to see his girlfriend.,we have to take him to that ranchers barn to see his girlfriend
40072,3,5,Stan,Why don't we just tell our parents?,why dont we just tell our parents
40073,3,5,Cartman,No! Why don't you wanna to understand? We have to do this ourselves.,no why dont you wanna to understand we have to do this ourselves
40074,3,5,Stan,Sshh! Be quit. We could get in big trouble for being here.,sshh be quit we could get in big trouble for being here
40076,3,5,Stan,"Sh! Keep quiet, stupid!",sh keep quiet stupid
40078,3,5,Kyle,"Dude, have you ever heard of whispering?!",dude have you ever heard of whispering
40080,3,5,Cartman,"Haaahahahah. You're so funny, Jakov.",haaahahahah youre so funny jakov
40082,3,5,Stan,"Okay, uh, Jakov, why don't you just take bunga here and go back to Stark's Pond?",okay uh jakov why dont you just take bunga here and go back to starks pond
40102,3,5,Cartman,"""Thank you, Mayor, for this distinctive honor...""",thank you mayor for this distinctive honor 
40103,3,5,Kyle,"What are you doing, fatass?!",what are you doing fatass
40104,3,5,Cartman,"I'm preparing my speech for when they call me up to congratulate on me on my discovery. ""Thank you, Mayor, for this distinctive honor...""",im preparing my speech for when they call me up to congratulate on me on my discovery thank you mayor for this distinctive honor 
40109,3,5,Cartman,"Thank you, Mayor, for this honorable distinction.",thank you mayor for this honorable distinction
40112,3,5,Cartman,"You know, there's really only two seasons here in South Park: Winter, and July, heh heh heh. But, but um, seriously, South Park has always been a place of discovery for me...  Ey, you sons of bitches! Get back here! I'm having a god-damned distinctive honor!",you know theres really only two seasons here in south park winter and july heh heh heh but but um seriously south park has always been a place of discovery for me   ey you sons of bitches get back here im having a goddamned distinctive honor
40120,3,5,Kyle,"They want you to have sex, God-damnit!!",they want you to have sex goddamnit
40139,3,5,Stan,"Dude, do we really want another one of these things hanging around?",dude do we really want another one of these things hanging around
40152,3,5,Randy,"Hey Jakov. Uh, could you run down to the store and get some more... pretzels?",hey jakov uh could you run down to the store and get some more  pretzels
40164,3,5,Kyle,"Dude, I don't wanna watch this thing have a baby.",dude i dont wanna watch this thing have a baby
40165,3,5,Cartman,"If Jakov and Hope don't have kids, their race will become extinct.",if jakov and hope dont have kids their race will become extinct
40166,3,5,Kyle,"Maybe their baby will be still-born, like Cartman was.",maybe their baby will be stillborn like cartman was
40167,3,5,Cartman,"Hey! I might have been still-born, but at least I got better!",hey i might have been stillborn but at least i got better
40182,3,5,Cartman,"Aren't they cute, you guys?",arent they cute you guys
40183,3,5,Stan,Huh-I'm not so sure this is a good thing.,huhim not so sure this is a good thing
40186,3,5,Mr. Garrison,"Ho-okay, children, we have some new students joining us today. Let's all be warm and welcome them to our class.",hookay children we have some new students joining us today lets all be warm and welcome them to our class
40187,3,5,Stan,"Dude, it's crowded in here.",dude its crowded in here
40190,3,5,Mr. Garrison,"O-kay, so, we're just gonna stick to our normal lesson plan and start the day with history.  Now, does anyone know why Chubby Checker left the Beatles in 1972?  Yes?",okay so were just gonna stick to our normal lesson plan and start the day with history  now does anyone know why chubby checker left the beatles in 1972  yes
40193,3,5,Mr. Garrison,"O-kay, is there anyone who can answer the question?",okay is there anyone who can answer the question
40196,3,5,Mr. Garrison,"Damnit, you don't raise your hand if you don't know!",damnit you dont raise your hand if you dont know
40202,3,5,Kyle,"Dude, this sucks ass!",dude this sucks ass
40203,3,5,Cartman,I like going to school now. Jakovasaurs are so cool.,i like going to school now jakovasaurs are so cool
40205,3,5,Mr. Garrison,"It sure is, Mr. Hat.",it sure is mr hat
40207,3,5,Mr. Garrison,"Mayor, the little jakovasaurs are ruining my classroom. I can't teach our kids anything!",mayor the little jakovasaurs are ruining my classroom i cant teach our kids anything
40229,3,5,Cartman,"Hey, Jakov, how's it going?",hey jakov hows it going
40233,3,5,Cartman,You... can't leave. You're my friend.,you  cant leave youre my friend
40236,3,5,Cartman,"Jakov, please don't go.  You make everything in South Park fun.  You brought life to this whole town. It would suck without you.",jakov please dont go  you make everything in south park fun  you brought life to this whole town it would suck without you
40238,3,5,Cartman,"Yes. These people, Jakov, these people need you. I need you. Please, Jakov. Stay?",yes these people jakov these people need you i need you please jakov stay
40240,3,5,Cartman,"Hoo-ray! Jakov is staying, you guys!",hooray jakov is staying you guys
40248,3,5,Cartman,Yes. Who would take care of them?,yes who would take care of them
40252,3,5,Cartman,"Well, that should be fine, just fine.",well that should be fine just fine
40255,3,5,Stan,"Oh, no! Nothing's worse than Cartman with authoritah!",oh no nothings worse than cartman with authoritah
40269,3,5,Cartman,"Hi, Jakov.  What the hell is that?  Who's laughing?",hi jakov  what the hell is that  whos laughing
40271,3,5,Cartman,"Wow, that's cool. I can help you get ready.",wow thats cool i can help you get ready
40313,3,5,Cartman,"What are we doing out here, you guys? I wanna see if Jakov wins that game show.",what are we doing out here you guys i wanna see if jakov wins that game show
40314,3,5,Stan,"Oh, he'll win. Don't worry.",oh hell win dont worry
40315,3,5,Kyle,"We just have to show you this new species because you're the Department of Interior guy now. Soon, they'll all be eaten by bears.",we just have to show you this new species because youre the department of interior guy now soon theyll all be eaten by bears
40316,3,5,Cartman,"Oh. Let me get out my notepad so I can classify this new species.  Well, this should be fine, just fine. Just fine, fine.",oh let me get out my notepad so i can classify this new species  well this should be fine just fine just fine fine
40317,3,5,Kyle,There it is!  That must be of the antelope family.,there it is  that must be of the antelope family
40318,3,5,Cartman,"That's Kenny with branches on his head.  Why did you bring me all the out here, you guys?",thats kenny with branches on his head  why did you bring me all the out here you guys
40319,3,5,Stan,"Cartman, jakovasaurs are making South Park suck. You have to understand that.",cartman jakovasaurs are making south park suck you have to understand that
40320,3,5,Cartman,"Well, what does that have to do with me being all the way out...? Wait a minute. You're distracting me! That game show is a fix!",well what does that have to do with me being all the way out  wait a minute youre distracting me that game show is a fix
40334,3,5,Randy,"Jakovasaurs don't wear clothes, Jakov.",jakovasaurs dont wear clothes jakov
40342,3,5,Cartman,"I am Department of Interior guy, and I have authoritah!  No! Jakov, don't go!",i am department of interior guy and i have authoritah  no jakov dont go
40346,3,5,Cartman,"Don't, mother! Just, don't.",dont mother just dont
40354,3,5,Cartman,No. That's okay. I'll see you guys.,no thats okay ill see you guys
40355,3,5,Kyle,Dude! I've never seen Cartman care so much about something.,dude ive never seen cartman care so much about something
40356,3,5,Stan,Yeah. I guess he finally found something that's as annoying as he is.,yeah i guess he finally found something thats as annoying as he is
40365,3,6,Mr. Garrison,"Okay, children. Let's take our seats. We have something very important to discuss. Due to recent events around the country I've been instructed to teach you all about sexual harassment in school.",okay children lets take our seats we have something very important to discuss due to recent events around the country ive been instructed to teach you all about sexual harassment in school
40367,3,6,Mr. Garrison,"Now, does anybody know what sexual harassment means?  Yes, Eric?",now does anybody know what sexual harassment means  yes eric
40368,3,6,Cartman,"When you're trying to have intercourse with a lady friend, and some other guy comes up and tickles your balls from behind.",when youre trying to have intercourse with a lady friend and some other guy comes up and tickles your balls from behind
40369,3,6,Mr. Garrison,"...No, Eric! That's not what I'm talking about! The school board has sent over a special guest to teach us all about sexual harassment in schools. Please welcome Petey, the Sexual Harassment Panda.", no eric thats not what im talking about the school board has sent over a special guest to teach us all about sexual harassment in schools please welcome petey the sexual harassment panda
40371,3,6,Mr. Garrison,"Say ""hi"" to Sexual Harassment Panda!",say hi to sexual harassment panda
40375,3,6,Kyle,"This is freaking me out, dude.",this is freaking me out dude
40379,3,6,Stan,"Ohh, dude, get me out of here!",ohh dude get me out of here
40380,3,6,Cartman,I think Sexual Harassment Panda is cool.,i think sexual harassment panda is cool
